City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Sabang,ID,5.8933,95.3214,28.45,73,100,9.89,light rain
247,Khatra,IN,22.9833,86.85,32.44,44,62,3.53,broken clouds
248,Inuvik,CA,68.3499,-133.7218,2.42,64,75,3.6,broken clouds
249,Taoudenni,ML,22.6783,-3.9836,45.86,5,52,2.88,broken clouds
250,Platanos,GR,37.6667,21.6167,22.38,65,34,0.64,scattered clouds
251,Rosarito,MX,32.3333,-117.0333,22.89,67,58,3.81,broken clouds
252,Zhangye,CN,38.9342,100.4517,18.33,43,80,3.09,broken clouds
253,Henties Bay,NA,-22.116,14.2845,22.43,39,0,3.67,clear sky
254,Mount Pleasant,US,32.7941,-79.8626,27.78,86,40,0.45,scattered clouds
255,Okhotsk,RU,59.3833,143.3,5.53,88,100,1.93,overcast clouds
256,San Cristobal,VE,7.7669,-72.225,24.1,94,100,1.47,overcast clouds
257,Muncar,ID,-8.4333,114.3333,24.39,92,88,0.6,overcast clouds
258,Atar,MR,20.5169,-13.0499,41.31,11,10,8.24,clear sky
259,Beni,CD,0.5,29.4667,17.39,99,99,0.96,moderate rain
260,Aykino,RU,62.2248,49.9922,14.33,79,98,1.72,overcast clouds
261,Mount Isa,AU,-20.7333,139.5,6.87,65,0,2.06,clear sky
262,Mana,GF,5.6592,-53.7767,24.5,89,81,4.35,broken clouds
263,Santiago,CL,-33.4569,-70.6483,19.54,53,94,0.0,haze
264,Shache,CN,38.4167,77.2406,28.08,17,69,4.87,broken clouds
265,Bocana De Paiwas,NI,12.7857,-85.1227,32.4,50,85,5.99,overcast clouds
266,Altay,CN,47.8667,88.1167,11.63,36,1,2.28,clear sky
267,Mikhaylovka,RU,50.06,43.2379,15.6,85,62,2.43,broken clouds
268,Mykhaylivka,UA,47.2724,35.2224,18.15,89,76,4.4,broken clouds
269,Alofi,NU,-19.0595,-169.9187,15.94,100,79,0.51,broken clouds
270,Alakurtti,RU,66.9672,30.3491,17.02,32,8,3.11,clear sky
271,Klaksvik,FO,62.2266,-6.589,9.51,97,100,8.42,overcast clouds
272,Rio Brilhante,BR,-21.8019,-54.5464,33.4,22,83,4.64,broken clouds
273,Praya,CV,14.9215,-23.5087,27.3,57,0,9.26,clear sky
274,Lusambo,CD,-4.9667,23.45,24.64,61,79,0.58,broken clouds
275,Thinadhoo,MV,0.5333,72.9333,28.42,74,36,5.27,scattered clouds
276,Bull Savanna,JM,17.8868,-77.5902,29.73,59,9,8.72,clear sky
277,Portlethen,GB,57.0547,-2.1307,13.23,81,90,0.45,overcast clouds
278,Huangnihe,CN,43.5583,128.0239,9.0,93,6,1.21,clear sky
279,Longjiang,CN,47.3303,123.1836,14.15,56,1,1.87,clear sky
280,Bilibino,RU,68.0546,166.4372,14.64,53,5,1.88,clear sky
281,Lakatoro,VU,-16.0999,167.4164,24.2,83,54,3.72,broken clouds
282,Berlevag,NO,70.8578,29.0864,4.89,71,7,2.53,clear sky
283,Kamenka,RU,51.3223,42.7678,14.32,89,60,2.54,broken clouds
284,Uslar,DE,51.6569,9.635,19.05,74,100,1.21,overcast clouds
285,Trelew,AR,-43.249,-65.3051,13.41,36,56,9.03,broken clouds
286,Wanning,CN,18.8003,110.3967,26.47,91,99,1.4,overcast clouds
287,Mamit,IN,23.9333,92.4833,20.78,98,95,1.1,overcast clouds
288,Yuli,NG,9.6989,10.2744,30.58,50,53,2.15,broken clouds
289,Sangar,RU,63.9242,127.4739,9.74,49,100,1.69,light rain
290,Thanh Hoa,VN,19.8,105.7667,26.84,87,100,0.77,overcast clouds
291,Isangel,VU,-19.55,169.2667,21.91,66,87,5.33,overcast clouds
292,Luderitz,NA,-26.6481,15.1594,18.22,41,0,1.51,clear sky
293,Luanda,AO,-8.8368,13.2343,25.0,78,0,5.14,clear sky
294,Lufilufi,WS,-13.8745,-171.5986,24.88,76,19,2.96,few clouds
295,Murfreesboro,US,35.8456,-86.3903,24.0,91,75,4.63,broken clouds
296,Hirara,JP,24.8,125.2833,25.52,86,100,4.78,light rain
297,Riyadh,SA,24.6877,46.7219,42.03,6,0,4.12,clear sky
298,Bone,DE,51.9669,12.1396,21.03,80,57,3.74,broken clouds
299,Abancay,PE,-13.6339,-72.8814,18.1,63,87,3.22,overcast clouds
300,Okakarara,NA,-20.5833,17.4333,12.69,36,0,3.35,clear sky
301,Lagoa,PT,39.05,-27.9833,18.02,91,91,5.94,overcast clouds
302,Gornyak,RU,50.9942,81.4661,11.99,77,0,3.33,clear sky
303,Xining,CN,36.6167,101.7667,11.28,79,93,2.48,overcast clouds
304,Upington,ZA,-28.4478,21.2561,15.21,36,0,3.09,clear sky
305,Hami,CN,42.8,93.45,20.7,13,18,6.32,few clouds
306,Ketchikan,US,55.3422,-131.6461,8.97,90,100,1.21,light rain
307,Kapuskasing,CA,49.4169,-82.4331,28.0,51,75,5.66,broken clouds
308,Kortkeros,RU,61.8106,51.5806,21.0,64,94,2.17,overcast clouds
309,Buala,SB,-8.145,159.5921,26.59,82,10,2.75,clear sky
310,Tarakan,ID,3.3,117.6333,27.05,77,100,1.6,overcast clouds
311,Iqaluit,CA,63.7506,-68.5145,2.85,74,75,1.34,broken clouds
312,Rio Grande,BR,-32.035,-52.0986,16.08,61,100,5.68,overcast clouds
